holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,weekend,time_slots,season,traffic_volume
1,-9.659999999999968,0.0,0.0,58,low_clouds,0,wee_hours,season_0,1439
0,-9.370000000000005,0.0,0.0,40,low_clouds,0,wee_hours,season_0,1502
0,-8.989999999999952,0.0,0.0,75,low_snow,0,wee_hours,season_0,933
0,-9.199999999999989,0.0,0.0,90,high_clouds,0,wee_hours,season_0,576
0,-9.5,0.0,0.0,90,high_clouds,0,wee_hours,season_0,372
0,-10.75,0.0,0.0,40,low_snow,0,wee_hours,season_0,419
0,-11.729999999999961,0.0,0.0,20,low_clouds,0,morning_hours,season_0,640
0,-12.489999999999952,0.0,0.0,1,clear,0,morning_hours,season_0,745
0,-12.859999999999957,0.0,0.0,20,low_clouds,0,morning_hours,season_0,939
0,-12.95999999999998,0.0,0.0,20,low_clouds,0,morning_hours,season_0,1243
0,-12.95999999999998,0.0,0.0,1,clear,0,noon_hours,season_0,1747
0,-12.659999999999968,0.0,0.0,20,low_clouds,0,noon_hours,season_0,2291
0,-12.049999999999955,0.0,0.0,20,low_clouds,0,noon_hours,season_0,2588
0,-11.599999999999966,0.0,0.0,20,low_clouds,0,noon_hours,season_0,2927
0,-11.5,0.0,0.0,20,low_clouds,0,noon_hours,season_0,3012
0,-11.609999999999957,0.0,0.0,1,clear,0,evening_hours,season_0,3121
0,-12.620000000000005,0.0,0.0,20,low_clouds,0,evening_hours,season_0,2864
0,-13.979999999999961,0.0,0.0,20,low_clouds,0,evening_hours,season_0,2606
0,-14.649999999999977,0.0,0.0,1,clear,0,late_hours,season_0,2298
0,-15.759999999999991,0.0,0.0,1,clear,0,late_hours,season_0,2154
0,-16.489999999999952,0.0,0.0,1,clear,0,late_hours,season_0,1732
0,-17.159999999999968,0.0,0.0,1,clear,0,late_hours,season_0,1589
0,-18.019999999999982,0.0,0.0,1,clear,0,late_hours,season_0,1235
0,-18.669999999999987,0.0,0.0,1,clear,0,late_hours,season_0,845
0,-18.75999999999999,0.0,0.0,1,clear,0,wee_hours,season_0,437
0,-19.25999999999999,0.0,0.0,1,clear,0,wee_hours,season_0,295
0,-20.169999999999987,0.0,0.0,1,mist,0,wee_hours,season_0,243
0,-20.569999999999965,0.0,0.0,1,clear,0,wee_hours,season_0,293
